epoch_s,vram_free,vram_total,torch_vram_total,torch_vram_free,ram_free
1788126346,15424822100,17102733312,436207616,64232276,48153505792
1788126348,15424822100,17102733312,436207616,64232276,48238342144
1788126349,15424822100,17102733312,436207616,64232276,48278126592
1788126350,15424822100,17102733312,436207616,64232276,48291991552
1788126351,15424822100,17102733312,436207616,64232276,48284463104
1788126352,15424822100,17102733312,436207616,64232276,48320360448
1788126354,15424822100,17102733312,436207616,64232276,48310558720
1788126355,15424822100,17102733312,436207616,64232276,48299589632
1788126356,15424822100,17102733312,436207616,64232276,48311394304
1788126357,15424822100,17102733312,436207616,64232276,48311758848
1788126358,15424822100,17102733312,436207616,64232276,48307544064
1788126359,15424822100,17102733312,436207616,64232276,48297725952
1788126361,15424822100,17102733312,436207616,64232276,48298045440
