t,status,vram_free,vram_total
190.1,,7404320752,17102733312
191.1,,7404397816,17102733312
192.1,,7404337136,17102733312
193.1,,7404397816,17102733312
194.1,,7404387576,17102733312
195.2,,7404397816,17102733312
196.2,,7404397816,17102733312
197.2,,7404397816,17102733312
198.2,,7404397816,17102733312
199.2,,7404397816,17102733312
200.2,,7404397816,17102733312
201.2,,7404397816,17102733312
202.2,,7404397816,17102733312
203.2,,7404397816,17102733312
204.3,,7404397816,17102733312
205.3,,7404397816,17102733312
206.3,,7404397816,17102733312
207.3,,7404397816,17102733312
208.3,,7404397816,17102733312
209.3,,7404397816,17102733312
210.3,,7404397816,17102733312
211.3,,7404396528,17102733312
212.4,,7404397816,17102733312
213.4,,7404397816,17102733312
214.4,,7404397816,17102733312
215.4,,7404397816,17102733312
216.4,,7404397816,17102733312
217.4,,7404397816,17102733312
218.4,,7404397816,17102733312
219.4,,7404397816,17102733312
220.4,,7404397816,17102733312
221.4,,7404397816,17102733312
222.5,,7404397816,17102733312
223.5,,7404397816,17102733312
224.5,,7404397816,17102733312
225.5,,7404397816,17102733312
226.5,,7404397816,17102733312
227.5,,9278325752,17102733312
228.6,,14908633324,17102733312
229.6,,14222663708,17102733312
230.6,,13352777980,17102733312
231.6,,12337322236,17102733312
232.6,,10827372796,17102733312
233.6,,9369446652,17102733312
234.6,,8008800508,17102733312
235.6,,7636195568,17102733312
236.7,,7636195568,17102733312
237.7,,7567630584,17102733312
238.7,,7654873336,17102733312
239.7,,7636195568,17102733312
240.7,,7747017464,17102733312
241.7,,7747540728,17102733312
242.8,,12117236548,17102733312
243.8,,12117236548,17102733312
244.8,,12117236548,17102733312
245.8,,15447890772,17102733312
246.8,,15447890772,17102733312
247.8,,15447890772,17102733312
248.8,,15447890772,17102733312
249.8,,15447890772,17102733312
250.8,,15447890772,17102733312
251.8,,15447890772,17102733312
253.2,,15447890772,17102733312
254.2,,15447890772,17102733312
255.2,,15447890772,17102733312
256.2,,15447890772,17102733312
257.2,,15447890772,17102733312
258.2,,15447890772,17102733312
259.2,,15447890772,17102733312
260.2,,15447890772,17102733312
261.3,,15447890772,17102733312
262.3,,15447890772,17102733312
263.3,,15447890772,17102733312
264.3,,15447890772,17102733312
265.3,,15447890772,17102733312
266.3,,15447890772,17102733312
267.3,,15447890772,17102733312
268.3,,15447890772,17102733312
269.3,,15447890772,17102733312
270.4,,15447890772,17102733312
271.4,,15447890772,17102733312
272.4,,15447890772,17102733312
273.4,,15447890772,17102733312
274.4,,15447890772,17102733312
275.4,,15447890772,17102733312
276.4,,15447890772,17102733312
